Work Item ID,Parent,Work Type,Summary,Planned Owner,Component,Priority,Sprint,Start Date,Deadline,Due Date,Estimated Hours,Original Estimate Seconds,Fix Version,Status,Dependencies,Evidence Path
1000,,Epic,Infrastructure and Project Governance,Khang,infra,P0,Sprint 5 - Release Candidate,2026-07-12 09:00,2026-07-28 23:00,2026-07-28,0,0,v0.3-rc,Backlog,,Jira epic Infrastructure and Project Governance
1001,1000,Task,Conduct initial team kickoff meeting,Khang; Dương Huệ Mẫn; Võ Huỳnh Quốc Thái; Nguyễn Hoàng Thái; Lương Minh Quân,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 09:00,2026-07-12 10:30,2026-07-12,1.5,5400,v0.1-mvp,Done,,planning/meetings/2026-07-12-kickoff.md
1002,1001,Sub-task,"Confirm scope, fixed models, and non-goals",Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 09:10,2026-07-12 09:30,2026-07-12,0.3,1080,v0.1-mvp,Selected for Development,1001,planning/meetings/2026-07-12-kickoff.md
1003,1001,Sub-task,Confirm role ownership and reviewer responsibilities,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 09:30,2026-07-12 09:50,2026-07-12,0.3,1080,v0.1-mvp,Selected for Development,1001,planning/meetings/2026-07-12-kickoff.md
1004,1001,Sub-task,Confirm team cadence and communication rules,Khang,infra,P1,Sprint 0 - Kickoff and Setup,2026-07-12 09:50,2026-07-12 10:10,2026-07-12,0.3,1080,v0.1-mvp,Selected for Development,1001,planning/meetings/2026-07-12-kickoff.md
1005,1000,Task,Create GitHub organization and repository,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 10:30,2026-07-12 14:00,2026-07-12,1.5,5400,v0.1-mvp,Selected for Development,1001,GitHub repository URL recorded in README and Jira project links
1006,1005,Sub-task,Configure protected main branch and merge policy,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 14:00,2026-07-12 16:00,2026-07-12,1.0,3600,v0.1-mvp,Selected for Development,1005,Repository branch protection screenshot or link
1007,1000,Task,Create Jira Scrum project MOR,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 10:30,2026-07-12 15:30,2026-07-12,1.5,5400,v0.1-mvp,Selected for Development,1001,Jira project URL recorded in README and planning/jira/README.md
1008,1007,Sub-task,"Create sprints, versions, components, and workflow statuses",Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 15:30,2026-07-12 17:30,2026-07-12,1.5,5400,v0.1-mvp,Selected for Development,1007,Jira configuration screenshot
1009,1007,Sub-task,Import detailed Scrum backlog from CSV,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 17:30,2026-07-12 19:30,2026-07-12,1.5,5400,v0.1-mvp,Selected for Development,1008,Jira import log and imported backlog
1010,1000,Task,Verify VS Code Dev Container on every machine,Lương Minh Quân; Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 16:00,2026-07-13 12:00,2026-07-13,3.0,10800,v0.1-mvp,Selected for Development,1005,planning/setup/team_environment_signoff.csv
1011,1010,Sub-task,Record environment sign-off for all members,Lương Minh Quân,infra,P1,Sprint 0 - Kickoff and Setup,2026-07-13 12:00,2026-07-13 16:00,2026-07-13,1.0,3600,v0.1-mvp,Selected for Development,1010,planning/setup/team_environment_signoff.csv
1012,1000,Task,Upload and register original competition statement,Khang,docs,P0,Sprint 0 - Kickoff and Setup,2026-07-12 14:00,2026-07-13 10:00,2026-07-13,1.0,3600,v0.1-mvp,Selected for Development,1005,docs/problem_statement/original/
1013,1000,Task,"Freeze architecture, schema, and module contracts v0",Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-13 08:00,2026-07-14 18:00,2026-07-14,5.0,18000,v0.1-mvp,Selected for Development,1001,docs/13_api_spec.md and schemas/
1014,1000,Task,Maintain daily coordination and blocker triage,Khang,infra,P0,Sprint 5 - Release Candidate,2026-07-13 08:00,2026-07-28 22:30,2026-07-28,16.0,57600,v0.3-rc,Backlog,1007,"Jira board, meeting notes, and ADRs"
2000,,Epic,Data and Ontology Knowledge Base,Dương Huệ Mẫn,data,P0,Sprint 5 - Release Candidate,2026-07-12 09:00,2026-07-28 20:00,2026-07-28,0,0,v0.3-rc,Backlog,,Jira epic Data and Ontology Knowledge Base
2001,2000,Task,Acquire official Vietnamese ICD-10 source files,Dương Huệ Mẫn,data,P0,Sprint 0 - Kickoff and Setup,2026-07-13 08:00,2026-07-14 18:00,2026-07-14,2.5,9000,v0.1-mvp,Selected for Development,,data/raw/icd10_vi_2026/SOURCE.md
2002,2000,Task,Acquire and pin official RxNorm 2026 release,Dương Huệ Mẫn,data,P0,Sprint 0 - Kickoff and Setup,2026-07-13 10:00,2026-07-14 21:00,2026-07-14,3.0,10800,v0.1-mvp,Selected for Development,,data/raw/rxnorm_2026/SOURCE.md
2003,2000,Task,Define normalized ontology schemas and parser contracts,Dương Huệ Mẫn; Lương Minh Quân,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-14 08:00,2026-07-15 11:00,2026-07-15,3.0,10800,v0.1-mvp,Backlog,1013; 2001; 2002,schemas/alias.schema.json and docs/06_data_workflow_and_sources.md
2004,2000,Task,Implement Vietnamese ICD-10 parser,Dương Huệ Mẫn; Lương Minh Quân,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-15 08:00,2026-07-15 23:00,2026-07-15,7.0,25200,v0.1-mvp,Backlog,2001; 2003,scripts/parse_icd10_vi.py and data/processed/icd10_vi_codes_full.jsonl
