Space Name,Space Key,Work Item ID,Parent,Work Type,Summary,Description,Assignee,Planned Owner,Priority,Component,Sprint,Start Date,Deadline,Due Date,Original Estimate,Fix Version,Status,Labels,Labels,Labels,Labels
Medical Ontology Retrieval,MOR,1000,,Epic,Infrastructure and Project Governance,"GOAL
Establish one standardized development and collaboration environment so the team only needs to implement project code and tests.

SCOPE
- Coordinate all tasks and deliverables in this workstream.

ACCEPTANCE CRITERIA
- All child work items meet their Definition of Done.
- Epic outcome is integrated into the release candidate.

EXPECTED EVIDENCE
- Jira epic Infrastructure and Project Governance

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 5 - Release Candidate,2026-07-12 09:00,2026-07-28 23:00,2026-07-28,0,v0.3-rc,Backlog,component-infra,priority-p0,epic,
Medical Ontology Retrieval,MOR,1001,1000,Task,Conduct initial team kickoff meeting,"GOAL
Align the entire team before implementation starts.

SCOPE
- Review the original task statement.
- Confirm fixed models, ontology targets, roles, schedule, Git/Jira rules, and communication channels.
- Record decisions, questions, and action items.

ACCEPTANCE CRITERIA
- All five members attend or acknowledge the written minutes.
- Roles and first tasks are accepted.
- Open questions have owners and deadlines.

EXPECTED EVIDENCE
- planning/meetings/2026-07-12-kickoff.md

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang; Dương Huệ Mẫn; Võ Huỳnh Quốc Thái; Nguyễn Hoàng Thái; Lương Minh Quân,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-12 09:00,2026-07-12 10:30,2026-07-12,5400,v0.1-mvp,Done,component-infra,priority-p0,meeting,kickoff
Medical Ontology Retrieval,MOR,1002,1001,Sub-task,"Confirm scope, fixed models, and non-goals","GOAL
Prevent scope drift from the first day.

SCOPE
- Confirm vicuna:7b-v1.5-q5_1 and bge-m3.
- Confirm Vietnamese ICD-10 and RxNorm 2026.
- Confirm self-coded core algorithms and excluded libraries.

ACCEPTANCE CRITERIA
- Meeting minutes record all decisions.
- No conflicting model or ontology target remains.

EXPECTED EVIDENCE
- planning/meetings/2026-07-12-kickoff.md

DEPENDENCIES
- 1001

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-12 09:10,2026-07-12 09:30,2026-07-12,1080,v0.1-mvp,Selected for Development,component-infra,priority-p0,decision,
Medical Ontology Retrieval,MOR,1003,1001,Sub-task,Confirm role ownership and reviewer responsibilities,"GOAL
Make ownership explicit and prevent duplicate or abandoned work.

SCOPE
- Review role-first and person-first task maps.
- Confirm backup reviewers and escalation path.

ACCEPTANCE CRITERIA
- Every workstream has one accountable owner.
- Each member knows their first assigned Jira item.

EXPECTED EVIDENCE
- planning/meetings/2026-07-12-kickoff.md

DEPENDENCIES
- 1001

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-12 09:30,2026-07-12 09:50,2026-07-12,1080,v0.1-mvp,Selected for Development,component-infra,priority-p0,decision,
Medical Ontology Retrieval,MOR,1004,1001,Sub-task,Confirm team cadence and communication rules,"GOAL
Define a predictable operating rhythm.

SCOPE
- Confirm daily planning, 16:00 async update, nightly integration check, and sprint review cadence.
- Confirm blocker escalation rules.

ACCEPTANCE CRITERIA
- Cadence appears in meeting minutes and team documentation.
- Communication channel is named.

EXPECTED EVIDENCE
- planning/meetings/2026-07-12-kickoff.md

DEPENDENCIES
- 1001

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P1,infra,Sprint 0 - Kickoff and Setup,2026-07-12 09:50,2026-07-12 10:10,2026-07-12,1080,v0.1-mvp,Selected for Development,component-infra,priority-p1,decision,
Medical Ontology Retrieval,MOR,1005,1000,Task,Create GitHub organization and repository,"GOAL
Create the canonical code repository.

SCOPE
- Create organization if needed.
- Create repository medical-ontology-retrieval.
- Upload this scaffold without generated model/data artifacts.
- Invite all members with appropriate permissions.

ACCEPTANCE CRITERIA
- All members can clone and push branches.
- README renders correctly.
- Default branch is main.

EXPECTED EVIDENCE
- GitHub repository URL recorded in README and Jira project links

DEPENDENCIES
- 1001

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-12 10:30,2026-07-12 14:00,2026-07-12,5400,v0.1-mvp,Selected for Development,component-infra,priority-p0,github,
Medical Ontology Retrieval,MOR,1006,1005,Sub-task,Configure protected main branch and merge policy,"GOAL
Prevent unreviewed or failing code from entering main.

SCOPE
- Require pull requests.
- Require one approval.
- Require CI checks.
- Disable force pushes and direct deletions.
- Enable squash merge and automatically delete merged branches.

ACCEPTANCE CRITERIA
- Direct pushes to main are blocked.
- A test pull request demonstrates the rule.

EXPECTED EVIDENCE
- Repository branch protection screenshot or link

DEPENDENCIES
- 1005

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-12 14:00,2026-07-12 16:00,2026-07-12,3600,v0.1-mvp,Selected for Development,component-infra,priority-p0,github,governance
Medical Ontology Retrieval,MOR,1007,1000,Task,Create Jira Scrum project MOR,"GOAL
Create the single source of truth for sprint planning, tasks, bugs, owners, and deadlines.

SCOPE
- Create Jira Software Scrum project/space with key MOR.
- Configure issue types Epic, Task, Bug, and Sub-task.
- Configure lean workflow statuses.
- Create components, versions, and custom planning fields described in the import guide.

ACCEPTANCE CRITERIA
- Scrum backlog and board are visible.
- All required fields exist.
- Project key is MOR.

EXPECTED EVIDENCE
- Jira project URL recorded in README and planning/jira/README.md

DEPENDENCIES
- 1001

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-12 10:30,2026-07-12 15:30,2026-07-12,5400,v0.1-mvp,Selected for Development,component-infra,priority-p0,jira,
Medical Ontology Retrieval,MOR,1008,1007,Sub-task,"Create sprints, versions, components, and workflow statuses","GOAL
Prepare Jira before task import.

SCOPE
- Create seven named sprints from planning/jira/sprint_calendar.csv.
- Create versions v0.1-mvp, v0.2-core, v0.3-rc, v1.0-submission.
- Create components data, model, pipeline, qa, infra, docs, demo.
- Create workflow statuses Backlog, Selected for Development, In Progress, Blocked, In Review, QA / Testing, Done.

ACCEPTANCE CRITERIA
- Names exactly match the import files.
- Board columns map to the intended statuses.

EXPECTED EVIDENCE
- Jira configuration screenshot

DEPENDENCIES
- 1007

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-12 15:30,2026-07-12 17:30,2026-07-12,5400,v0.1-mvp,Selected for Development,component-infra,priority-p0,jira,configuration
Medical Ontology Retrieval,MOR,1009,1007,Sub-task,Import detailed Scrum backlog from CSV,"GOAL
Populate the complete project backlog without manual ticket creation.

SCOPE
- Use the External System Import or new CSV import flow that supports hierarchy.
- Map Work Item ID, Parent, Work Type, Summary, Description, Priority, component, dates, estimate, version, status, and labels.
- Validate before import.

ACCEPTANCE CRITERIA
- All epics, tasks, and sub-tasks appear with correct hierarchy.
- Kickoff meeting is recorded as Done.
- No duplicate items exist.

EXPECTED EVIDENCE
- Jira import log and imported backlog

DEPENDENCIES
- 1008

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-12 17:30,2026-07-12 19:30,2026-07-12,5400,v0.1-mvp,Selected for Development,component-infra,priority-p0,jira,import
